text,label
"Cuánto cuesta la habitación doble?",ALTA
"Tienen habitación disponible para el 15 de diciembre?",ALTA
"Necesito reservar urgente para mañana",ALTA
"Cómo hago para reservar?",ALTA
"Disponibilidad para 2 personas por 3 noches?",ALTA
"Deseo reservar para el fin de semana, cuál es el precio?",ALTA
"Quiero hacer una reserva para este viernes",ALTA
"Precio por noche habitación matrimonial?",ALTA
"Cuánto sale la suite?",ALTA
"Info de precios por favor",ALTA
"Cuál es la tarifa para 4 personas?",ALTA
"Tienen cupo para hoy?",ALTA
"Disponible del 20 al 25 de enero?",ALTA
"Quisiera reservar una habitación doble con vista al mar",ALTA
"Hay disponibilidad para año nuevo?",ALTA
"Me interesa reservar, cómo lo hago?",ALTA
"Precio habitación triple fin de semana?",ALTA
"Cuánto cuesta reservar para 5 noches?",ALTA
"Tienen espacio para mañana por la noche?",ALTA
"Quiero saber si hay cupo para el sábado",ALTA
"Necesito cotización para una semana",ALTA
"Cuánto sale hospedarse 2 noches?",ALTA
"Info para reservar una suite presidencial",ALTA
"Cómo puedo hacer la reserva?",ALTA
"Tienen disponibilidad para el próximo mes?",ALTA
"Cuánto cuesta por persona la habitación?",ALTA
"Precio para reservar del 10 al 15?",ALTA
"Quiero reservar habitación con jacuzzi, precio?",ALTA
"Hay cupo para este fin de semana?",ALTA
"Necesito reservar 3 habitaciones, cuánto es?",ALTA
"Disponibilidad y precios para febrero?",ALTA
"Quisiera información sobre tarifas",ALTA
"Cuánto sale la reserva para 2 adultos y 1 niño?",ALTA
"Tienen habitaciones libres para hoy?",ALTA
"Me gustaría reservar, necesito más info",ALTA
"Precio de la habitación estándar?",ALTA
"Hay espacio para 6 personas?",ALTA
"Cuánto cuesta quedarse una noche?",ALTA
"Quisiera saber la tarifa del hotel",ALTA
"Disponibilidad para el feriado?",ALTA
"Necesito reservar para mi aniversario",ALTA
"Cuánto me sale reservar una semana?",ALTA
"Tienen cupo para Navidad?",ALTA
"Precio habitación deluxe?",ALTA
"Info de reservas y tarifas",ALTA
"Cuánto cuesta la habitación más económica?",ALTA
"Hay disponibilidad para 10 personas?",ALTA
"Necesito reservar urgente una habitación",ALTA
"Cuál es el precio por día?",ALTA
"Quisiera hacer una reserva para julio",ALTA
"Tienen espacio disponible para este mes?",ALTA
"Cuánto sale la noche en temporada alta?",ALTA
"Precio y disponibilidad para marzo?",ALTA
"Necesito reservar habitación con balcón",ALTA
"Info para reservar habitación familiar",ALTA
"Hay cupo para el lunes?",ALTA
"Cuánto cuesta reservar la suite?",ALTA
"Disponibilidad para semana santa?",ALTA
"Quisiera reservar 2 habitaciones dobles",ALTA
"Precio para estadía de 4 días?",ALTA
"Necesito saber si tienen disponible para agosto",ALTA
"Cuánto me cobraría por 3 noches?",ALTA
"Info de tarifas corporativas",ALTA
"Tienen cupo para grupo de 15 personas?",ALTA
"Cuál es el costo de la reserva?",ALTA
"Necesito cotizar habitación ejecutiva",ALTA
"Disponibilidad habitación con vista?",ALTA
"Precio habitación sencilla por favor",ALTA
"Hay espacio para fin de año?",ALTA
"Cuánto sale reservar para mi familia?",ALTA
"Quisiera información de precios y disponibilidad",ALTA
"Necesito reservar con urgencia",ALTA
"Tienen cupo para el jueves?",ALTA
"Cuánto cuesta la habitación más grande?",ALTA
"Info para hacer reserva grupal",ALTA
"Disponibilidad para luna de miel?",ALTA
"Precio de habitación con aire acondicionado?",ALTA
"Hay espacio libre para septiembre?",ALTA
"Cuánto me sale una reserva de última hora?",ALTA
"Necesito reservar habitación king size",ALTA
"Tienen disponibilidad inmediata?",ALTA
"Cuál es la tarifa por fin de semana?",ALTA
"Quisiera saber precios de habitaciones",ALTA
"Hay cupo para 8 personas?",ALTA
"Precio habitación premium?",ALTA
"Necesito info de tarifas especiales",ALTA
"Cuánto cuesta reservar habitación doble?",ALTA
"Disponibilidad para octubre?",ALTA
"Tienen espacio para reunión familiar?",ALTA
"Info de reservas para eventos",ALTA
"Cuánto sale hospedarse una quincena?",ALTA
"Precio y disponibilidad urgente",ALTA
"Necesito reservar para conferencia",ALTA
"Hay cupo para vacaciones?",ALTA
"Cuánto cuesta por noche habitación?",ALTA
"Quisiera reservar habitación económica",ALTA
"Disponibilidad habitación vista al jardín?",ALTA
"Precio para reserva larga estadía?",ALTA
"Tienen espacio disponible ahora?",ALTA
"Cuánto me sale reservar suite junior?",ALTA
"Info de tarifas mensuales",ALTA
"Necesito hacer reserva corporativa",ALTA
"Hay cupo para cumpleaños?",ALTA
"Cuál es el precio final con impuestos?",ALTA
